datetime,Evaporator temp,Souce_temp_in,Souce_temp_out,Condensor temp,Condensor pressure,Sink_temp_in,Sink_temp_out,COP,Compressor Power1 [W],Compressor Power2 [W],Condensor load[W],Temp difference,Intermediate pressure [bar],Vapour fraction Flash tank,error
2025/04/20 09:45:00,5.76,13.29,9.83,102.2,27.34,63.86,94.35,2.712668186443943,2704062.663284669,3212412.856461767,16049976.65333333,60.894799026639305,9.32,0.21108735004117296,
2025/04/20 12:15:00,5.27,13.45,9.74,101.06,27.42,65.54,94.48,2.776960013418131,2942852.915010228,3476606.2979388097,17827163.798888884,61.58189209970129,9.39,0.20791919603020248,
2025/04/20 14:45:00,6.03,13.64,10.16,102.5,27.72,67.33,94.46,2.7395245286545054,2838576.323923925,3265985.2888473184,16724166.414999995,60.34996941844861,9.54,0.19946990217844163,
2025/04/20 17:15:00,6.08,13.98,10.43,101.12,27.25,66.83,94.43,2.788051754985799,2853538.058320805,3253051.8058287203,17026073.533333335,60.16086671985869,9.56,0.19585395631051142,
2025/04/20 19:45:00,4.51,14.03,10.04,98.77,26.34,61.59,92.28,2.8396927384081194,3121194.439231639,3750141.299560466,19513095.854999997,61.02048486926759,9.14,0.20979596000899048,
2025/04/20 22:15:00,4.91,13.92,9.99,101.06,27.49,64.14,94.27,2.7917584202747654,3044014.9681314714,3623290.3874190114,18614084.677222215,60.83228484303481,9.35,0.20390952890167485,
2025/04/21 00:45:00,6.7,13.8,10.47,103.45,27.67,64.29,95.24,2.7254754553132803,2592551.2851168555,3208936.157931403,15812370.474999992,61.67451164766703,9.34,0.2177905697440661,
2025/04/21 03:15:00,5.39,13.67,9.9,106.1,30.12,64.43,98.13,2.6698463728976445,2913554.908042805,3502237.2648467366,17129696.89444444,61.93150260681023,9.7,0.20746246085835526,
2025/04/21 05:45:00,5.29,13.44,9.74,106.55,30.13,64.57,98.33,2.6778828281818305,2923801.2293613297,3451478.796101494,17072780.85333334,60.72936371295515,9.71,0.19142207284195875,
2025/04/21 08:15:00,5.03,13.24,9.49,103.05,28.45,63.01,95.38,2.7166651764936316,2823501.0236107702,3370113.929251799,16826503.264999997,59.35363507360404,9.33,0.19025749881971207,
2025/04/21 10:45:00,4.7,13.21,9.37,102.37,28.35,62.51,96.38,2.771471873255557,2942996.659279687,3490489.302179333,17830786.23333333,58.51827868594569,9.28,0.17759000945868583,
2025/04/21 13:15:00,5.66,13.43,9.88,104.2,28.48,64.02,96.13,2.729313108673741,2859930.9348030407,3319653.8460271102,16866582.033888888,59.29520029773329,9.52,0.1848520107280002,
2025/04/21 15:45:00,5.75,13.55,10.0,103.36,28.48,65.41,95.82,2.711298816806284,2823404.1070093187,3315200.9273917754,16644139.734444441,60.647993054159315,9.55,0.19998390831348953,
2025/04/21 18:15:00,5.64,13.71,10.04,103.32,28.71,64.9,95.82,2.7147311451880762,2889538.946477773,3448337.74145855,17206179.515555542,62.273977392863344,9.58,0.2151729884736084,
2025/04/21 20:45:00,5.6,13.69,9.98,103.03,28.33,65.29,95.92,2.720932526943263,2845253.6332434714,3402403.1428266005,16999990.33333333,61.93663292451265,9.5,0.21429977535585765,
2025/04/21 23:15:00,5.26,13.6,9.83,103.33,28.62,63.96,96.02,2.736869920166196,2956924.679877982,3561878.4517399133,17841676.758888885,61.67062188219751,9.48,0.20859088419085758,
2025/04/22 01:45:00,5.12,13.49,9.7,102.89,28.63,63.98,95.82,2.7223869323951213,2951003.87407743,3548955.857078115,17695953.83111111,61.77405075045721,9.46,0.211426808016052,
2025/04/22 04:15:00,5.03,13.4,9.6,102.77,28.44,63.98,95.67,2.7280434375974463,2936927.18822084,3507937.055989934,17582414.813333333,61.87050318959393,9.46,0.21011990296741376,
2025/04/22 06:45:00,4.76,13.36,9.51,102.77,28.35,63.74,95.53,2.7337743268947468,2935138.5267906697,3557151.800772648,17749001.63055556,61.98656309988047,9.38,0.21236108208917087,
2025/04/22 09:15:00,4.45,13.27,9.41,103.1,28.83,63.25,95.57,2.722384601655604,2989442.5062415083,3639254.776339357,18046412.462222215,62.03076505858928,9.41,0.2103558907359609,
2025/04/22 11:45:00,5.12,13.5,9.66,102.73,28.67,64.36,95.84,2.7195684969125797,2939613.86317301,3523890.993017188,17578480.96888889,61.836014397164774,9.48,0.2109143600428035,
2025/04/22 14:15:00,5.88,13.84,10.21,103.94,28.61,65.47,96.11,2.721521025761323,2870561.3529795487,3414118.992352061,17104442.96,61.838374646971886,9.59,0.21207549947537419,
2025/04/22 16:45:00,6.57,14.23,10.77,104.43,28.7,66.58,96.26,2.7015140199174703,2792053.4379199315,3310308.6722238236,16486169.871111115,61.45839389257202,9.69,0.21367998162165938,
2025/04/22 19:15:00,6.47,14.32,10.74,103.97,28.81,65.63,96.14,2.7208787250336464,2831869.669697756,3383614.6677026916,16912133.700000003,61.881846283735285,9.69,0.21460119677466083,
2025/04/22 21:45:00,6.09,14.33,10.6,103.47,28.52,65.35,96.02,2.735770452771031,2833309.187349875,3390919.2378887134,17028600.80777778,61.72431468789773,9.62,0.2136338568277773,
2025/04/23 00:15:00,6.06,14.15,10.49,103.58,28.63,65.45,95.9,2.7227341742460522,2837736.509842648,3379999.989606081,16929787.233333334,61.27526160294104,9.61,0.20986135200908076,
2025/04/23 02:45:00,5.97,14.03,10.37,103.45,28.54,65.5,95.71,2.7221587007308834,2811630.022940159,3358146.146263604,16795648.943333328,61.22431173611301,9.57,0.20863569048735395,
2025/04/23 05:15:00,5.88,13.9,10.24,103.32,28.48,64.63,95.52,2.732121830852107,2868901.692677063,3396396.4957218356,17118110.514999997,61.36238997638151,9.58,0.2075583811795129,
2025/04/23 07:45:00,4.45,13.74,9.79,102.75,28.11,63.29,95.34,2.7487470679488046,2897535.80526082,3590271.1708718017,17833878.85277778,61.81425974903539,9.29,0.21736167501309284,
2025/04/23 10:15:00,5.44,13.68,9.91,103.45,28.47,63.91,95.47,2.7347690365903228,2923808.39468058,3496517.135750108,17558658.479999997,61.68809118769383,9.5,0.20996800787333353,
2025/04/23 12:45:00,6.01,13.96,10.33,103.82,28.55,65.02,95.61,2.72522705076537,2857201.8974832306,3377802.1089428505,16992352.42833334,61.520394507275,9.62,0.2091137039999907,
2025/04/23 15:15:00,6.5,14.28,10.71,104.0,28.66,65.95,95.74,2.712193362999814,2808320.23057721,3283236.5962907374,16522020.569999991,61.29400567723246,9.75,0.2078223779446888,
2025/04/23 17:45:00,6.5,14.39,10.82,103.69,28.42,65.71,95.52,2.7221184365999544,2793721.121961672,3277791.7247485016,16527920.988333335,61.53318809084101,9.73,0.21164693598359632,
2025/04/23 20:15:00,4.89,14.39,10.38,102.22,28.08,61.36,95.4,2.7703387904124765,3049451.412817632,3839412.3133585784,19085061.18444445,62.25233785802499,9.31,0.22326179856618017,
2025/04/23 22:45:00,5.36,14.33,10.37,102.9,28.69,63.55,96.46,2.751435363188104,3036557.07579433,3701738.1901234677,18540543.266666662,61.708748055109595,9.52,0.21226498892433227,
2025/04/24 01:15:00,6.75,14.29,10.83,105.09,28.75,64.21,95.9,2.7216067301101456,2750704.9448986943,3300692.6469231313,16470083.489444448,61.24753153676397,9.66,0.2078333269108088,
2025/04/24 03:45:00,6.85,14.12,10.74,104.35,28.53,65.35,96.2,2.6986376773562393,2721131.465917696,3203410.086167819,15988739.188888893,60.44448304080743,9.66,0.20363819851608442,
2025/04/24 06:15:00,5.65,13.93,10.2,106.02,30.1,63.76,98.26,2.713506063553548,3005500.455843887,3564081.880544746,17827160.083333336,61.08117588740265,9.78,0.19438109730345995,
2025/04/24 08:45:00,5.94,13.78,10.13,103.96,28.81,63.82,95.42,2.7069716667491255,2828230.3632020364,3358568.9264219846,16748024.577777777,60.21151893763903,9.54,0.19893620069083567,
2025/04/24 11:15:00,5.72,13.72,10.04,103.86,28.42,63.68,95.38,2.71271621960282,2797970.0794037245,3344928.6099493136,16664469.861111104,60.712569087359896,9.47,0.2050903739440069,
2025/04/24 13:45:00,6.54,13.92,10.5,104.53,28.55,64.62,95.79,2.7041325357197157,2771384.529814813,3271239.9168456276,16340612.750000002,60.78727104026558,9.62,0.20515170583696218,
2025/04/24 16:15:00,6.9,14.03,10.74,104.76,28.44,65.28,96.11,2.711746028187715,2730467.3035843684,3247275.855749613,16210696.608333332,61.35539554696663,9.64,0.20995729192375018,
2025/04/24 18:45:00,6.6,14.23,10.76,104.14,28.38,64.92,96.32,2.717366131812233,2782866.2946547098,3309585.611112391,16555981.444444438,61.0872100120223,9.61,0.2121131408260014,
2025/04/24 21:15:00,6.1,14.04,10.42,103.12,28.38,63.41,94.59,2.7082856045283314,2769570.512872076,3330297.9759328547,16520717.803333336,61.253346013109706,9.52,0.2141071621778497,
2025/04/24 23:45:00,5.79,13.87,10.22,104.09,28.86,64.82,96.35,2.7068839056043266,2844144.256596658,3429635.667811984,16982935.584999997,61.46622811028499,9.54,0.2120214413696098,
2025/04/25 02:15:00,7.28,13.85,10.65,106.11,29.19,65.67,96.96,2.631816863202447,2644941.0728525347,3091220.9233148443,15097052.996666662,59.924646398602135,9.74,0.19989842656026532,
2025/04/25 04:45:00,6.85,13.75,10.5,107.69,30.14,66.32,98.61,2.625155851702055,2696886.9308778048,3152504.2127694665,15356087.132222224,60.67681807149472,9.9,0.19494439935392846,
2025/04/25 07:15:00,4.54,13.59,9.68,103.24,28.4,63.29,97.38,2.732368762949401,3086898.8265478457,3748897.631872915,18678481.06055555,61.85708591593652,9.37,0.2153543556839173,
2025/04/25 09:45:00,4.85,13.45,9.62,104.12,29.37,64.62,96.96,2.7106600545631614,2991081.1034516976,3624278.4984362824,17932537.18666666,62.34091485374893,9.56,0.20950151848571993,
2025/04/25 12:15:00,4.49,13.48,9.61,103.69,28.8,64.04,97.1,2.7218664494862392,3010272.8189655514,3692089.555564348,18243488.779999994,62.42204733344823,9.42,0.21639670183057808,
