datetime,Temp in cp1,Temp in cp2,Pressure in cp1,Pressure in cp2,Efficiency comp1,Efficiency comp2,Mass flow comp1,Mass flow comp2,pr comp1,pr comp2,error
2025/04/17 03:15:00,8.23064597053667,54.84180721423502,2.7788792856577644,9.92,0.7472679729408325,0.6512606179477184,90.22452328594179,112.59788837279322,3.5697844275563497,3.025201612903226,
2025/04/17 05:45:00,8.228528216805614,55.261023305561025,2.7565242311568094,9.91,0.7392027671987405,0.6474836932371167,88.18596780980309,110.2731123167473,3.595107159947274,3.0403632694248235,
2025/04/17 08:15:00,7.611622699836687,53.901143130963874,2.694005403343831,9.710000000000003,0.7582720022575219,0.6543259292509576,93.59516757870021,118.25955126591198,3.6042986357591698,3.0875386199794024,
2025/04/17 10:45:00,7.301649878753892,53.495961590308355,2.6639500817178705,9.630000000000003,0.7619999919882655,0.6557909437926162,96.30562189998291,121.86423545295733,3.614932601811373,3.096573208722741,
2025/04/17 13:15:00,7.293337013511575,53.421734502297284,2.6501065588410317,9.57,0.760275432059609,0.655174901633225,95.05177163521749,120.34845703067438,3.6111755461581283,3.1013584117032393,
2025/04/17 15:45:00,7.101150056664096,53.402808830750246,2.641529708880227,9.590000000000002,0.7619944366797949,0.6556685343482871,96.30158288406267,121.56304568608338,3.630472134294225,3.088633993743483,
2025/04/17 18:15:00,6.905209091791164,53.181910691265216,2.6428363478657384,9.590000000000002,0.7634577551480451,0.6563254260150239,97.36549618644345,123.17933476457505,3.6286772004420733,3.1032325338894684,
2025/04/17 20:45:00,7.014442545738348,53.651380838049306,2.64183566650854,9.67,0.7623509866486041,0.6558520996982204,96.56081439313549,122.01471022274029,3.6603336545834093,3.1178903826266806,
2025/04/17 23:15:00,7.019469554086754,53.75326218460191,2.639515707321527,9.680000000000001,0.7609066563434025,0.6554191158184393,95.51070653345559,120.94934868517475,3.667339418799243,3.1074380165289255,
2025/04/18 01:45:00,7.20403585147028,54.12060277394528,2.6716639356245295,9.75,0.7532760964483416,0.6533751959026701,91.74313216825281,115.92026153927229,3.649411091713837,3.0974358974358975,
2025/04/18 04:15:00,7.521935644725886,55.031750471326575,2.6978104143221,9.87,0.7408251151711917,0.6493145664818638,88.59603129103053,111.40005304423448,3.6585224623651373,3.054711246200608,
2025/04/18 06:45:00,7.690066564394613,55.4912101315511,2.7042504501255817,9.850000000000001,0.726187947422815,0.6419830458343165,84.89635152800095,106.88734893659863,3.6424141112900914,3.0578680203045687,
2025/04/18 09:15:00,7.247739327103943,54.326367448297106,2.663584359703715,9.710000000000003,0.7446131763816229,0.6523667346342592,89.55349885868264,113.43893163838868,3.6454636642633305,3.0978372811534496,
2025/04/18 11:45:00,7.5035283376033135,54.979734050098386,2.666932852367366,9.680000000000001,0.7256609722607187,0.642921252551377,84.76315367331057,107.46483476926454,3.629637690880488,3.1177685950413223,
