datetime,eta1,eta2,m1,m2,cop,cop_given,cp1,cp2,Speed line X,Speed line x,igva1,igva2,Evaporator pressure,status,error
2025/04/18 17:30:00,0.6859549990787215,0.7184290852991376,86.32445606788401,102.87364318326222,2.708440411926876,2.7,3129496.536035135,2974185.385479522,0.9834643963059337,0.9938669008207154,33.79160601404931,5.138293531938018,2.6107180573622837,passed,
2025/04/19 07:15:00,0.6906236683838993,0.7163140118264576,92.40807515014589,118.32678144720545,2.654307157118818,2.69,3339433.596638462,3417563.9316612165,0.9846276941717462,0.995746540651242,32.84261377092703,6.453821330084881,2.565816760966566,passed,
2025/04/19 09:45:00,0.6910910978288219,0.7169539972694919,92.37264438645613,118.86745261190201,2.650208809499197,2.68,3351231.6981248413,3462918.104060952,0.9847236051201483,0.9960199262377958,32.832434670573896,5.540467487288973,2.5256798949316748,passed,
2025/04/19 12:15:00,0.6897456804073347,0.7171855436484752,91.77040764789861,117.50187346864803,2.6523594324315765,2.68,3328269.3291773056,3402711.9498694427,0.9844583314522212,0.9955570445087328,33.03225008081268,5.564343717286997,2.5563856965266836,passed,
2025/04/19 14:45:00,0.6891897356701067,0.7175330140764891,92.2763846927541,117.47908990147644,2.656022688198466,2.67,3336993.158724882,3395054.288679022,0.9839857689995272,0.9951192747602275,33.16202024669051,5.4246766501171075,2.5908420705168282,passed,
2025/04/19 23:15:00,0.6643636891907813,0.7077904187288745,76.03484291312049,94.19282514972049,2.7651012626223817,2.76,2680847.8284841427,2633916.9742809185,0.9813910091800462,0.9955882068158272,37.86793114738244,12.70136935422391,2.731954746562861,passed,
2025/04/20 02:15:00,0.662919301342425,0.7074878794690466,77.82601597581413,96.90815332060562,2.7588959366621792,2.78,2742383.8002052,2719768.5105438726,0.9821534194920499,0.996317713838309,38.04908986150662,12.653499819559135,2.7161493189641073,passed,
2025/04/20 04:45:00,0.6650455726110185,0.7072724477736203,79.13675853626755,100.0530545875411,2.7443339832039872,2.81,2788514.850960753,2828354.0379762766,0.9824115717225054,0.9968201047292728,37.66492744772968,12.624299923820171,2.6880255224909617,passed,
2025/04/20 07:15:00,0.6712229734189932,0.7075594144689145,80.92646052663679,102.26299072117327,2.7352332202454073,2.81,2876670.5613681506,2875066.118178495,0.9829475526958392,0.9964857479470768,36.54402553588764,12.564509925249,2.6444373741454146,passed,
2025/04/20 09:45:00,0.6736969702969744,0.7081359923388705,82.38385249908357,104.42709025312647,2.7276332868761064,2.82,2938926.7104034405,2945286.805598554,0.9833172121523134,0.996617519825661,36.071115249621535,12.201068308016156,2.6138301572068627,passed,
2025/04/20 12:15:00,0.6829423169435624,0.7075508907530339,92.1328441850126,116.31748140247271,2.7236346988983624,2.76,3289146.2301646774,3256211.6352272923,0.98448705283212,0.9968690815658724,34.423701179693055,12.455299478452403,2.579454041410029,passed,
2025/04/20 14:45:00,0.6823075515722101,0.7086334309233808,86.69903141294537,108.30202593116093,2.731480118929538,2.73,3104048.972379262,3018699.7524235253,0.9828553882976397,0.9952931605395873,34.539638811055255,12.320717182410114,2.6224241903735774,passed,
2025/04/20 17:15:00,0.6788223398412883,0.7049050045949798,88.7804095945468,110.40334065092793,2.7487429866223945,2.81,3158509.933417548,3035620.844249179,0.9829796410387655,0.9955912487933536,35.173264205915565,14.191938578630069,2.6585754801512147,passed,
2025/04/20 19:45:00,0.6414231149935391,0.7064093365638553,99.10452032697704,125.41636756008566,2.699106838869915,2.83,3698284.1194960945,3531179.9291259693,0.9845954999887314,0.9960166026310333,35.47230736950115,13.317124047229798,2.572024995106033,passed,
2025/04/20 22:15:00,0.6989573625413125,0.7088624781497462,96.45155634237445,121.15652660595885,2.7526404744472446,2.8,3365012.4868834326,3397252.636374297,0.9841594466627549,0.9976546663026148,32.903289763774765,11.446675269994957,2.5727043990749587,passed,
2025/04/21 00:45:00,0.6597536468294333,0.7077375287194301,81.4282743813547,104.10034861726456,2.7276842720983248,2.82,2853332.747569145,2943661.6614780626,0.9833267457967279,0.9976489641220259,38.485099112069506,12.113245041244973,2.7276352963776644,passed,
2025/04/21 03:15:00,0.6870589202260687,0.7181248982746977,88.37346782419465,111.50698037585366,2.664593188493635,2.7,3202861.167423701,3225773.7808358157,0.9834163085990593,0.994631613729155,33.5847620301644,4.987346184170723,2.5985261431296274,passed,
