datetime,Comp1 eff,Comp2 eff,Comp1 m,Comp2 m,pr1,pr2,X,x,cop,cop_given,error
2024/12/15 19:00:00,0.7184006647693906,0.6690422087430526,76.2383976019371,96.22365310335601,3.9054455167499813,3.3065088757396452,0.9925304971903269,1.0016008377834107,2.6170054976697656,2.65,
2024/12/15 19:15:00,0.7201177628631996,0.6700932623314876,76.27153096474564,96.21712145796728,3.906371985392525,3.302958579881657,0.9925240632841272,1.0016797184507458,2.6215288676844333,2.66,
2024/12/15 19:30:00,0.7208201676255849,0.6705558910929678,76.27514500617234,96.21648390811625,3.90397088542381,3.31042654028436,0.992461636510653,1.0017257490559106,2.62262873605183,2.65,
2024/12/15 19:45:00,0.7229718560326991,0.6718193851142071,76.48445693883201,96.3825089798741,3.915230155589427,3.315976331360947,0.9924183182780505,1.0016641351929139,2.624165775288129,2.64,
2024/12/15 20:00:00,0.7258192258335072,0.6738172100746419,76.77228605393421,96.68433236459639,3.91767062743849,3.312426035502959,0.992430799375288,1.0018020063860222,2.6311618552182763,2.65,
2024/12/15 20:15:00,0.7229367362438384,0.6717656165159592,76.81028226361897,96.68373559457815,3.9213077682081856,3.308875739644971,0.992385949034581,1.0015628468862852,2.625233440795386,2.64,
2024/12/15 20:30:00,0.7313968026768857,0.6775290057013267,77.50207376459602,97.45828025148641,3.908076405376603,3.3061465721040184,0.9927586061535385,1.002404272828715,2.646717153922181,2.65,
2024/12/15 20:45:00,0.727570265144099,0.6747954594843415,77.37591259127424,97.24909930864817,3.9235582279259957,3.308510638297872,0.9925187178155527,1.0018543458299154,2.6353975203710407,2.64,
2024/12/15 21:00:00,0.7296870964550738,0.6761566705340433,77.67913586177502,97.53403247337367,3.923683793470375,3.305785123966942,0.9926069496262662,1.0019994721344418,2.640655449926999,2.66,
2024/12/15 21:15:00,0.7357211721727499,0.6805165495261338,78.08445550583218,97.99212217811613,3.9259656778074032,3.3081463990554894,0.9926535498787095,1.0023394369291154,2.6535847288540864,2.66,
2024/12/15 21:30:00,0.7350931822371787,0.6797631336743433,78.1715229191584,98.00601466138215,3.9406969330779424,3.30188679245283,0.9924720511225221,1.0019911002224673,2.6506753323510956,2.66,
2024/12/15 21:45:00,0.734755675565336,0.6794856846276128,78.3611377687348,98.17888843084404,3.9341897233621896,3.3089622641509435,0.9925717681753445,1.0021026914254136,2.65018745468347,2.64,
2024/12/15 22:00:00,0.7457558892910505,0.6871243666937467,78.99878670746237,98.88097537844764,3.9381156894039138,3.305064782096584,0.9927617700976236,1.002764441901321,2.674466537041872,2.66,
2024/12/15 22:15:00,0.7139291281870531,0.663981313799424,76.63596196848971,95.87105542634602,3.913299396721881,3.3168433451118964,0.9924515268386864,1.0010113082198382,2.6065486610428468,2.64,
2024/12/15 22:30:00,0.7201143442746872,0.6681595445877768,76.70505783196245,95.90654736104433,3.933457756811153,3.3239104829210837,0.9922880603655833,1.0010361466566986,2.6153168189408507,2.65,
2024/12/15 22:45:00,0.7154172267257601,0.6645771317695942,76.59882165501232,95.67808878599416,3.9252432384899913,3.327058823529412,0.9923626435399429,1.0008678296163143,2.6058346698525425,2.63,
2024/12/15 23:00:00,0.7120880475927044,0.6622816323441192,76.50552244895174,95.46659146250512,3.9279076777306354,3.329024676850764,0.9924105104734401,1.0006417478481644,2.5979420264478654,2.64,
2024/12/15 23:15:00,0.7093832326798309,0.6603007074042243,76.34715946917497,95.2189214615205,3.929461608308565,3.334900117508813,0.9924118512194661,1.0004587293465252,2.5908816900863556,2.62,
