datetime,Evaporator temp,Souce_temp_in,Souce_temp_out,Condensor temp,Sink_temp_in,Sink_temp_out,COP,Compressor Power [W],Condensor load[W],Temp difference,Intermediate pressure [bar],error
2025/05/04 05:00:00,8.63,17.46,13.51,98.01,65.89,90.32,2.7747076569254245,6458513.314988103,17921036.381111104,85.26987327028661,9.78,
2025/05/04 05:15:00,8.42,17.45,13.44,97.89,65.88,90.43,2.7716198527176075,6461373.250943683,17909010.869444456,85.37029356853903,9.71,
2025/05/04 05:30:00,8.26,17.42,13.33,97.6,65.88,90.55,2.7798108335279115,6466408.124022953,17975925.70277778,85.27266316813665,9.72,
2025/05/04 05:45:00,8.13,17.43,13.27,97.44,65.87,90.66,2.7810192308365402,6502700.65222011,18084664.454999994,85.2595347140458,9.66,
2025/05/04 06:00:00,8.07,17.42,13.29,97.55,65.86,90.77,2.7742836830025572,6541596.973115459,18148778.339999996,85.41465207293487,9.65,
2025/05/04 06:15:00,8.14,17.38,13.27,97.67,65.85,90.88,2.77147034328286,6590058.189892132,18264688.57888889,85.45140869561406,9.66,
2025/05/04 06:30:00,8.1,17.38,13.24,97.78,65.85,90.99,2.765961714227289,6642651.579444666,18373855.316666666,85.5868775944538,9.67,
2025/05/04 06:45:00,8.14,17.37,13.23,97.89,65.84,91.1,2.7627182456927994,6504696.602565931,17971166.656666663,85.64411181680343,9.68,
2025/05/04 07:00:00,7.9,17.33,13.21,98.17,65.83,91.22,2.745045964223928,6732870.721194604,18482574.33,86.12382825844676,9.71,
2025/05/04 07:15:00,5.83,17.33,13.16,98.45,65.82,91.33,2.6682201970601125,6959922.316007031,18571112.76777778,88.39195144452957,9.42,
2025/05/04 07:30:00,6.1,17.32,13.11,98.89,65.82,91.44,2.659211005777307,7009814.558920219,18641077.84,88.51331300477855,9.48,
2025/05/04 07:45:00,6.03,17.29,13.16,99.1,65.85,91.59,2.6521122619011512,7134517.149329398,18922057.440000005,88.76492307515102,9.58,
2025/05/04 08:00:00,6.13,17.27,13.13,99.61,66.1,91.88,2.637726231871246,7179812.042901874,18938890.3,89.1123745905798,9.7,
2025/05/04 08:15:00,7.16,17.26,13.09,100.12,66.35,92.18,2.6485571032380957,7159450.566313663,18962725.70500001,88.54952005765213,9.87,
2025/05/04 08:30:00,7.52,17.25,13.11,100.63,66.6,92.47,2.6394173776678076,7160657.629758604,18900475.403333336,88.64071510016889,9.96,
2025/05/04 08:45:00,7.86,17.23,13.14,100.44,66.84,92.76,2.6558104588188787,7086127.401114438,18819931.68,88.14262077827085,9.95,
2025/05/04 09:00:00,7.92,17.2,13.11,100.14,67.09,92.97,2.6693834342569844,7043380.315677844,18802006.911111105,87.8229903362343,9.93,
2025/05/04 09:15:00,7.47,17.19,13.04,99.85,67.09,92.86,2.667534659255511,7022569.401869438,18733461.413333327,88.01105863037938,9.86,
2025/05/04 09:30:00,7.2,17.2,13.08,99.82,67.04,92.75,2.662994980030665,7022421.328162624,18701188.33,88.24906233262384,9.9,
2025/05/04 09:45:00,7.11,17.22,13.01,99.16,66.99,92.64,2.683307629078461,6957216.629413959,18668862.300000004,87.76154725354935,9.75,
2025/05/04 10:00:00,7.17,17.2,13.06,99.67,66.94,92.53,2.668729909119018,6983085.91602001,18636483.323333338,88.14765965125237,9.91,
2025/05/04 10:15:00,7.52,17.18,13.06,100.18,66.89,92.43,2.6572827826249026,7003705.933661145,18611338.53333334,88.24939927421836,9.93,
2025/05/04 10:30:00,7.81,17.17,13.06,100.36,66.84,92.32,2.6572337606104623,6993838.305232214,18584775.09777777,88.12203602176601,9.93,
2025/05/04 10:45:00,7.92,17.17,13.07,100.3,66.78,92.21,2.664257646129536,6999834.190780271,18649878.82999999,87.96216477891097,9.98,
2025/05/04 11:00:00,8.07,17.17,13.15,100.23,66.73,92.1,2.672743601855104,7168448.516380546,19159969.45499999,87.7544380024026,10.03,
2025/05/04 11:15:00,8.09,17.15,13.13,100.17,66.68,91.99,2.674526484288995,6902361.256076619,18461073.22277777,87.68263823119523,9.99,
2025/05/04 11:30:00,8.11,17.17,13.13,100.1,66.63,91.89,2.6776942026033987,6870280.999504721,18397033.416666668,87.602159588536,9.98,
2025/05/04 11:45:00,7.6,17.17,13.03,99.59,66.55,91.78,2.6828020747980674,6838796.590842736,18347647.065,87.65728788144636,9.89,
2025/05/04 12:00:00,6.5,17.16,13.02,99.04,66.4,91.67,2.669966999309893,6872238.25319818,18349154.883888885,88.25303890889177,9.68,
2025/05/04 12:15:00,5.82,17.17,13.04,98.96,66.24,91.56,2.6517559896337892,6922815.785722095,18358119.70666667,88.84761312249759,9.56,
2025/05/04 12:30:00,5.71,17.19,13.05,99.04,66.09,91.46,2.643749837046102,7016991.931693392,18551674.374444436,89.02525984879598,9.5,
2025/05/04 12:45:00,6.31,17.22,13.0,99.12,65.94,91.35,2.657856323471584,6994863.317363034,18591840.574999996,88.50897801327153,9.56,
2025/05/04 13:00:00,6.8,17.19,13.07,99.19,65.82,91.4,2.674187277606112,7002650.118408285,18726917.623333342,88.09075632917354,9.76,
2025/05/04 13:15:00,5.7,17.22,13.06,99.24,65.75,91.49,2.6357046147887853,7153534.607413911,18855110.55999999,89.20988186422527,9.51,
2025/05/04 13:30:00,6.63,17.24,13.07,99.29,65.68,91.58,2.6630777867970226,7128076.853202246,18983140.244444434,88.34442686729307,9.68,
2025/05/04 13:45:00,6.64,17.25,13.12,99.33,65.61,91.66,2.663287233692028,7167317.049786772,19089149.10833333,88.36945913912682,9.73,
2025/05/04 14:00:00,6.75,17.25,13.1,99.38,65.54,91.75,2.665671011943069,7209914.023631351,19219785.71944444,88.30549240855606,9.78,
2025/05/04 14:15:00,6.86,17.29,13.11,99.43,65.47,91.84,2.666489311228819,7265596.146912215,19374162.060000002,88.24160336986019,9.78,
2025/05/04 14:30:00,6.89,17.3,13.14,99.47,65.4,91.93,2.6656213374230924,7325926.447714558,19528679.939999998,88.24717921657832,9.78,
2025/05/04 15:45:00,9.89,17.33,14.22,103.07,67.19,91.68,2.5739480896081424,4845141.801529536,12471574.677222226,88.42518274336378,9.58,
2025/05/04 16:00:00,8.72,17.34,13.58,100.43,67.08,90.51,2.6761243386492573,6072229.179145931,16250535.143333338,87.29126415934908,9.88,
2025/05/04 16:15:00,8.72,17.35,13.53,100.13,66.97,90.74,2.6876813131464212,6134678.979446388,16488559.669999994,87.03059069959957,9.84,
2025/05/04 16:30:00,8.3,17.37,13.37,99.72,66.87,90.97,2.6928556644092514,6212891.160995776,16730902.833333332,87.08536954655109,9.8,
2025/05/04 16:45:00,8.55,17.38,13.43,99.66,66.76,91.2,2.7027803110811157,6282337.424005851,16980277.917777777,86.7882812172419,9.82,
2025/05/04 17:00:00,8.48,17.41,13.42,99.7,66.66,91.43,2.7005768563823724,6377366.900441479,17223070.89555556,86.8916651340913,9.86,
2025/05/04 17:15:00,8.76,17.41,13.56,99.7,66.55,91.6,2.7033892861861037,6447796.484088432,17431430.77499999,86.6174072590532,9.73,
2025/05/04 17:30:00,8.81,17.38,13.56,99.77,66.44,91.6,2.7042388320417534,6479259.257969195,17521998.48666666,86.62931387323425,9.8,
2025/05/04 17:45:00,8.84,17.41,13.56,99.88,66.39,91.6,2.7006183135482846,6505934.961401757,17570577.28555555,86.69561135572403,9.81,
2025/05/04 18:00:00,9.23,17.4,13.68,100.0,66.48,91.61,2.7053518633053777,6479003.751794523,17528533.80055555,86.41768015960936,9.8,
2025/05/04 18:15:00,9.45,17.4,13.71,100.11,66.57,91.61,2.707100243740505,6456783.698663022,17479713.142222222,86.29755305628036,9.82,
2025/05/04 18:30:00,9.51,17.41,13.72,100.22,66.66,91.61,2.706097918741872,6441633.147621112,17432240.650000006,86.33429985876374,9.88,
2025/05/04 18:45:00,9.76,17.43,13.88,100.25,66.75,91.62,2.7075337295006796,6423217.834281465,17391650.41166667,86.11502626229672,9.78,
2025/05/04 19:00:00,9.82,17.43,13.85,100.1,66.84,91.62,2.7138291841024547,6404317.119659877,17380791.12,85.92590218390961,9.73,
2025/05/04 19:15:00,9.88,17.42,13.83,99.96,66.93,91.62,2.7221040725565975,6365765.92563973,17328845.214999996,85.74544720971278,9.74,
2025/05/04 19:30:00,9.72,17.42,13.81,99.81,67.02,91.63,2.7249235721757517,6301244.392266192,17170969.86611111,85.772042500695,9.75,
2025/05/04 19:45:00,9.48,17.42,13.74,99.66,66.97,91.63,2.7259040625341044,6312409.501209225,17207574.009999998,85.87695056060876,9.77,
2025/05/04 20:00:00,8.6,17.4,13.5,99.52,66.72,91.63,2.7108473974427034,6358914.273931146,17238562.78833333,86.61740049614846,9.84,
2025/05/04 20:15:00,8.41,17.4,13.36,99.37,66.47,91.64,2.7111518433106765,6423493.111874899,17415569.06833333,86.67277704408943,9.81,
2025/05/04 20:30:00,8.0,17.39,13.3,99.22,66.22,91.64,2.7058450787010857,6504383.189694025,17600354.676666666,86.9433297273726,9.79,
