X,R2,RMSE,MAE,COUNT
1.0024,0.8429075618270264,0.004074440348550274,0.0020033689948630064,75
1.0067,1.0,2.220446049250313e-16,2.220446049250313e-16,2
1.0072,1.0,1.0532500405730103e-15,9.992007221626409e-16,2
1.0063,0.9997709465654369,0.00010821177067964674,8.645548770758182e-05,4
0.9989,0.9995683053290322,0.000141309808655037,0.00011918537305012348,151
1.0085,1.0,8.455206652451151e-16,7.771561172376096e-16,2
0.9964,0.9992827508289657,0.00013993313226423116,0.00012038173864569701,151
1.0077,,0.0,0.0,1
1.0005,0.9994071251891795,0.00014292199223727486,0.00012287750967858037,142
0.9993,0.9994374867033176,0.0001433409034586671,0.000124309212781747,131
0.9987,0.9993619620029829,0.00014278129944585188,0.00012273533372607904,162
0.999,0.9797088203047442,0.000904954223930934,0.0003219062628397482,160
0.9971,0.9995300733309799,0.00012171608950052968,0.0001009623395173764,122
0.9951,0.9991658012832846,0.00014197073189916036,0.00012388810474241556,69
0.9991,0.9992180112047634,0.00016713838390177042,0.00012486062041530536,165
0.9988,0.943077869369548,0.0014848836441725757,0.0005165780723655337,150
0.9968,0.9994578333025972,0.0001253825138411756,0.00010383170463184537,126
0.9963,0.9994169887519245,0.00013272376910920532,0.00011162430602648626,99
0.9974,0.9993995558415979,0.00014198156168629316,0.0001250383075393466,134
0.9982,0.9994896604809286,0.0001342692424859381,0.0001119042578034076,122
1.0002,0.9994462796718971,0.00012836936491964558,0.00010626332633819168,129
0.9943,0.9993515278593225,0.0001292280685664198,0.00011092431271626084,57
0.9967,0.9992467453827942,0.00014090377162251515,0.00012102887097812462,117
0.9841,0.9975568733933022,6.487421257127432e-05,5.0407628420812146e-05,5
0.9949,0.9993902772331982,0.0001255090933668014,0.00010658350039084441,60
1.0059,0.999682256381144,0.00015689359236677072,0.00013198806006302631,10
0.9946,0.9991234911863551,0.00014233061786298872,0.00012419995038587993,53
0.9944,0.9991465884745389,0.00013877642966404375,0.00012405864119454505,51
0.9979,0.9993416165147738,0.00013960787740144372,0.00012068547517152463,157
