datetime,Evaporator temp,Souce_temp_in,Souce_temp_out,Condensor temp,Condensor pressure,Sink_temp_in,Sink_temp_out,COP,Compressor Power1 [W],Compressor Power2 [W],Condensor load[W],Temp difference,Intermediate pressure [bar],Vapour fraction Flash tank,Efficiency comp1,Efficiency comp2,Mass flow comp1,Mass flow comp2,pr comp1,pr comp2,error
2025/05/12 22:30:00,9.58,16.19,12.93,99.12,25.27,65.57,89.82,2.792452784685978,2256203.8735863594,2783003.755820446,14072277.694444442,58.86932177036152,9.28,0.22988551497158213,0.6725450608017668,0.6189425099344933,71.39378508339453,92.7054177935116,3.072518617601204,2.7230603448275867,
2025/05/13 01:00:00,10.07,16.06,13.0,99.62,25.22,65.32,90.07,2.826560215802119,2307541.649777204,2792298.2580388095,14415592.125000002,59.315465167544346,9.39,0.2239834305339668,0.6846437152535834,0.6240816264253266,74.39566193631374,95.86865134529879,3.0863721950057053,2.685835995740149,
2025/05/13 03:30:00,9.56,15.88,12.76,99.05,25.38,66.24,90.19,2.797269115964223,2220500.7076859414,2701363.9348243764,13768321.447222224,56.91779077322428,9.24,0.20541708541599535,0.6636570376555441,0.6115246363359638,70.03418977862022,88.13956164069545,3.0487075882457506,2.7467532467532467,
2025/05/13 06:00:00,9.65,15.68,12.61,99.66,25.52,65.77,89.31,2.7769536271428494,2235467.0547433957,2672863.683858252,13630745.455555556,56.91650816470536,9.31,0.2015700264162909,0.6590713277138098,0.6083713314762909,69.33271661599987,86.83631490536831,3.083206685298375,2.741138560687433,
2025/05/13 08:30:00,6.85,15.52,11.71,98.2,25.6,65.6,89.66,2.888465503030222,2695849.5656077177,3123504.1434530695,16809571.130000003,58.4002907221095,9.38,0.19934075173544044,0.7396187306297266,0.6474835293030402,88.29110642091935,110.27301141189787,3.3037697647969564,2.729211087420042,
2025/05/13 11:00:00,7.16,15.55,11.85,97.22,25.17,65.44,87.95,2.8499500739361894,2584399.29356853,2935561.284664715,15732148.96,57.536204694990886,9.38,0.199833900398385,0.7128561696071204,0.6338594762989086,81.52662116500838,101.88712219325298,3.2896264708191865,2.6833688699360336,
2025/05/13 13:30:00,8.85,15.93,12.6,96.39,23.96,65.27,87.91,2.9576877350440443,2410392.2051633736,2924695.460939445,15780156.724444445,58.31543299245851,9.07,0.21318897387509772,0.7175069976071248,0.6390964308417324,82.70216103233369,105.1105771097892,3.042844650314057,2.6416758544652703,
2025/05/13 16:00:00,9.72,16.36,13.09,95.3,23.6,65.17,85.79,2.918229280979204,2225094.1240842743,2684097.236511821,14326719.86777778,57.240618280028116,9.08,0.21499841278752949,0.683188455610985,0.6215376480120708,74.02783157853769,94.30277949043327,2.97183053413571,2.5991189427312777,
2025/05/13 18:30:00,10.69,16.72,13.66,96.2,23.6,65.75,85.29,2.9109882688566486,2146126.0555147068,2549375.572117021,13669133.182222225,56.94017547789258,9.22,0.21209901551757696,0.6691710867733366,0.614478271500855,70.8776704005218,89.95758578355088,2.9349000628780066,2.5596529284164857,
2025/05/13 21:00:00,10.78,16.89,13.81,95.41,23.59,66.61,84.8,2.798528259936414,2087100.64520387,2402757.606875453,12565496.374444444,57.77558135267674,9.36,0.22561590623895383,0.6232465190404196,0.5959187182592428,63.852618188550395,82.45600433039567,2.9430468297922436,2.5202991452991452,
