previous_datetime,datetime,dt_diff,cop,cop_given,Q
2025-07-02 13:15:00,2025-07-06 00:15:00,3 days 11:00:00,3.129878464398142,3.06,12.161827852777778
2025-07-06 16:30:00,2025-07-20 06:15:00,13 days 13:45:00,3.266047155870316,3.25,15.33929003444444
2025-07-20 06:15:00,2025-07-20 13:30:00,0 days 07:15:00,2.825075228390551,2.97,11.429901724999992
2025-07-20 14:15:00,2025-07-22 08:45:00,1 days 18:30:00,3.1241804765046224,3.15,14.51806528944445
2025-07-23 02:00:00,2025-07-23 03:00:00,0 days 01:00:00,3.0220166161495867,3.05,13.131198299999996
2025-07-23 03:15:00,2025-07-23 07:30:00,0 days 04:15:00,3.081082049416516,3.06,14.20076416
2025-07-23 10:45:00,2025-07-23 14:15:00,0 days 03:30:00,3.1747083776044933,3.12,15.626394611666676
2025-07-23 15:15:00,2025-07-23 15:45:00,0 days 00:30:00,3.171024315471317,3.13,16.65074367
2025-07-23 16:15:00,2025-07-25 07:30:00,1 days 15:15:00,2.884273729971366,2.98,12.041781155555556
2025-07-25 08:00:00,2025-07-27 04:45:00,1 days 20:45:00,2.6873131795843315,2.5,9.030177542222225
2025-07-27 23:45:00,2025-07-28 00:30:00,0 days 00:45:00,2.9748130881644834,3.0,12.504195977777783
2025-07-30 17:30:00,2025-07-30 19:45:00,0 days 02:15:00,2.928203060055856,3.08,12.65464114444445
2025-07-31 23:00:00,2025-08-01 10:00:00,0 days 11:00:00,2.987053887051448,3.0,12.965702578888887
2025-08-01 14:00:00,2025-08-04 04:00:00,2 days 14:00:00,3.1135165180183733,3.09,14.93235495888889
2025-08-04 12:45:00,2025-08-13 15:30:00,9 days 02:45:00,3.2472387981621007,3.75,15.421133969999994
2025-08-13 16:15:00,2025-08-21 21:15:00,8 days 05:00:00,2.9289690168162306,2.97,11.316354695555551
2025-08-21 21:30:00,2025-08-23 11:15:00,1 days 13:45:00,3.1362844611584686,3.08,13.117932605555554
2025-08-23 13:15:00,2025-08-24 12:00:00,0 days 22:45:00,3.2390393543087344,3.15,14.907898243333332
2025-08-24 14:30:00,2025-08-24 23:15:00,0 days 08:45:00,3.072653265146984,3.06,12.734928146111107
2025-08-25 15:00:00,2025-08-26 19:00:00,1 days 04:00:00,2.9861152697466102,3.02,11.866625222222222
2025-08-26 20:30:00,2025-08-27 04:15:00,0 days 07:45:00,3.094829935857508,3.06,12.867346946666665
2025-08-27 20:15:00,2025-08-28 06:00:00,0 days 09:45:00,3.206114992589053,3.34,13.521345914999998
2025-08-28 14:00:00,2025-08-29 09:00:00,0 days 19:00:00,3.0963082127204484,3.18,13.232000741666663
2025-08-29 17:00:00,2025-08-30 01:00:00,0 days 08:00:00,2.5980951009169955,2.51,11.02229541111111
2025-08-30 09:00:00,2025-08-31 09:45:00,1 days 00:45:00,3.146979912295353,3.14,13.845369413333325
2025-08-31 10:15:00,2025-08-31 11:15:00,0 days 01:00:00,3.115497177612581,3.12,13.123918017222223
2025-09-02 03:00:00,2025-09-02 12:15:00,0 days 09:15:00,3.065130008513916,3.08,12.52699439444444
2025-09-02 12:15:00,2025-09-02 15:00:00,0 days 02:45:00,3.061050265208316,3.03,12.876438911111109
2025-09-02 23:45:00,2025-09-03 05:30:00,0 days 05:45:00,2.915378783773398,3.14,12.168351555555557
2025-09-04 02:00:00,2025-09-04 04:15:00,0 days 02:15:00,2.9731337349509244,3.06,12.43624891666666
2025-09-04 05:00:00,2025-09-04 15:15:00,0 days 10:15:00,3.037770621008948,3.08,12.607526274444444
2025-09-04 16:45:00,2025-09-04 23:15:00,0 days 06:30:00,3.055351410126609,3.07,12.659634851111107
2025-09-05 04:30:00,2025-09-05 05:15:00,0 days 00:45:00,2.9739801460707658,3.05,12.404159753333332
2025-09-05 14:45:00,2025-09-05 15:30:00,0 days 00:45:00,2.6860290649783507,2.78,10.782588666666664
2025-09-08 04:15:00,2025-09-08 07:00:00,0 days 02:45:00,3.0552014697966934,3.06,13.333301067777771
2025-09-09 23:45:00,2025-09-10 23:30:00,0 days 23:45:00,3.01903424504512,3.05,12.839031626666666
2025-09-10 23:45:00,2025-09-11 02:45:00,0 days 03:00:00,3.0835542854550875,3.06,13.483026345555553
2025-09-13 11:15:00,2025-09-13 12:30:00,0 days 01:15:00,3.0384676616005417,3.08,13.628472
2025-09-17 15:15:00,2025-09-17 20:45:00,0 days 05:30:00,3.1094717867359365,3.12,14.292156376666664
2025-09-17 23:45:00,2025-09-18 05:15:00,0 days 05:30:00,3.144205300310868,3.14,14.900553286666662
2025-09-18 21:45:00,2025-09-22 07:30:00,3 days 09:45:00,3.192920951458221,3.14,15.40097174
2025-09-22 17:45:00,2025-09-25 11:30:00,2 days 17:45:00,3.074651049217499,3.13,17.289252371111115
2025-09-25 23:45:00,2025-09-26 08:00:00,0 days 08:15:00,2.8614756100624352,2.92,13.605281011666667
2025-09-27 08:30:00,2025-10-03 06:30:00,5 days 22:00:00,2.4160014446283204,2.52,13.27068908
2025-10-05 09:00:00,2025-10-05 10:30:00,0 days 01:30:00,2.780494372389867,2.85,15.093759156666666
2025-10-05 13:15:00,2025-10-05 16:30:00,0 days 03:15:00,2.9203668192677745,2.89,14.75421148666667
2025-10-06 13:00:00,2025-10-06 14:45:00,0 days 01:45:00,2.945901532535722,2.97,16.563416271111112
2025-10-06 23:30:00,2025-10-25 04:15:00,18 days 04:45:00,2.8008878196863725,2.83667525,18.05643380822894
2025-10-26 22:45:00,2025-10-27 00:00:00,0 days 01:15:00,2.751648312779298,2.79726075,18.1214333669519
2025-10-29 23:45:00,2025-11-01 10:15:00,2 days 10:30:00,2.7473864361990685,2.688149,16.315483138044442
2025-11-01 10:45:00,2025-11-03 00:30:00,1 days 13:45:00,2.294204977911626,2.38895625,10.328045561491352
2025-11-04 02:30:00,2025-11-05 04:15:00,1 days 01:45:00,2.526116720739234,2.34091725,14.413928656135074
2025-11-05 07:00:00,2025-11-07 03:00:00,1 days 20:00:00,2.676759515380349,2.640112,15.74592186461983
2025-11-09 15:45:00,2025-11-13 00:00:00,3 days 08:15:00,2.566325436620376,2.56111875,15.93628075577933
2025-11-13 12:30:00,2025-11-15 17:30:00,2 days 05:00:00,2.498838137501913,2.312693,14.11893580096292
2025-11-15 19:45:00,2025-11-21 13:45:00,5 days 18:00:00,2.518098720803901,2.357784,13.356034161548582
2025-11-21 14:15:00,2025-11-25 00:30:00,3 days 10:15:00,2.5995429278539386,2.56051,11.337742466953
2025-11-25 01:30:00,2025-11-25 02:45:00,0 days 01:15:00,2.2059157818025947,2.325814,9.899401883115456
2025-11-25 04:45:00,2025-11-27 23:30:00,2 days 18:45:00,2.5781157078825543,2.246121,13.713668572517705
2025-11-27 23:45:00,2025-11-28 11:15:00,0 days 11:30:00,2.4794298820346845,2.33484375,11.30115496078109
2025-11-28 12:15:00,2025-11-28 13:00:00,0 days 00:45:00,2.410437856048061,2.401946,10.66008800376162
2025-11-28 15:15:00,2025-12-06 08:45:00,7 days 17:30:00,2.320533902173215,2.34298975,10.780190027743672
2025-12-07 09:30:00,2025-12-07 10:45:00,0 days 01:15:00,2.5133331669655306,2.15674725,13.47528742826033
2025-12-08 19:15:00,2025-12-08 23:15:00,0 days 04:00:00,2.238076518404326,2.34123475,9.040657505095036
2025-12-09 03:30:00,2025-12-09 04:30:00,0 days 01:00:00,2.5707113454189856,2.38521375,14.718815828693709
2025-12-10 23:15:00,2025-12-19 00:00:00,8 days 00:45:00,2.317793209187984,2.3787875,10.2682847348062
2025-12-19 00:00:00,2025-12-23 00:30:00,4 days 00:30:00,2.586456888003494,2.441063,13.584122646258246
2025-12-23 01:00:00,2025-12-23 15:15:00,0 days 14:15:00,2.5015950454667903,2.1591625,12.7455777743895
