datetime,Evaporator temp,Souce_temp_in,Souce_temp_out,Condensor temp,Condensor pressure,Sink_temp_in,Sink_temp_out,COP,Compressor Power1 [W],Compressor Power2 [W],Condensor load[W],Temp difference,Intermediate pressure [bar],Vapour fraction Flash tank,error
2025/04/28 06:00:00,5.06,14.2,10.26,103.36,28.76,63.68,95.94,2.9998751219950552,2836700.137894773,3133933.4598030155,17911775.358888887,59.66245853716316,9.49,0.18878673391095888,
2025/04/28 08:30:00,4.8,14.05,10.11,103.37,28.88,62.86,95.52,2.9930341727364174,2876635.3920272584,3200850.5984990443,18190750.881111108,60.28353939407907,9.44,0.19507827883593534,
2025/04/28 11:00:00,5.73,13.99,10.24,99.95,27.02,65.83,92.79,3.026317696963977,2783296.984130943,2991731.205386297,17477714.173333336,61.008091286458864,9.45,0.20658396550206096,
2025/04/28 13:30:00,6.81,14.29,10.87,101.34,27.15,67.41,92.74,3.01686828753323,2597142.5271079247,2842389.8219186445,16411012.890555555,61.773382279675786,9.63,0.21151728684248375,
2025/04/28 16:00:00,7.12,14.67,11.15,101.48,27.01,68.56,92.68,2.9713292021276945,2491124.9878792837,2761173.2871031724,15606903.620000001,61.55819883995173,9.65,0.21908932867309597,
2025/04/28 18:30:00,8.37,15.02,11.85,101.71,27.08,69.1,92.62,2.966428322077717,2373749.5315875784,2747313.3228595,15191909.040000007,61.25781269760938,9.61,0.22218749648959418,
2025/04/28 21:00:00,7.54,15.09,11.61,101.46,27.04,68.31,93.1,3.0198044885919444,2530380.1559720314,2792305.2376851663,16074105.935555551,61.87477449720069,9.72,0.22010407714329155,
2025/04/28 23:30:00,7.44,15.07,11.54,101.24,27.1,67.52,93.6,3.036555304892925,2663577.7447379474,2897118.9035356534,16886027.742222223,61.599508612715056,9.69,0.21851613105169065,
2025/04/29 02:00:00,6.07,14.97,11.06,102.75,28.61,67.38,95.75,3.0115417003665526,2957423.3419678104,3144652.010194373,18377299.520555556,62.39095346625646,9.82,0.21273959253186672,
2025/04/29 04:30:00,5.86,14.84,10.93,102.25,28.48,66.5,95.04,3.016241566002387,2974676.0651651113,3159672.1473389715,18503327.101111118,62.16392792060083,9.76,0.21110922514775224,
2025/04/29 07:00:00,4.93,14.61,10.61,101.07,27.67,65.63,94.33,3.0427258771070274,2947688.772174677,3191232.6589857596,18679705.916666668,62.16318108451486,9.49,0.2172946961892631,
2025/04/29 09:30:00,6.02,14.42,10.6,97.46,25.42,65.25,90.53,3.09825509730104,2715297.7947833952,2927966.914648089,17484928.853333335,61.62061140300449,9.27,0.22297468180451668,
2025/04/29 12:00:00,6.56,14.61,10.91,98.67,25.78,66.78,89.57,3.046532517855224,2532708.9659990803,2753125.6930797272,16104074.909999995,60.51707649117327,9.42,0.21438463792108647,
2025/04/29 14:30:00,7.26,15.01,11.49,99.22,25.79,67.12,91.58,3.1265417373354327,2677665.3760135234,2859298.4085923745,17312262.109999992,60.68110444612557,9.48,0.20924882961506328,
2025/04/29 17:00:00,7.98,15.44,11.91,98.95,25.58,66.83,89.87,3.114893187978716,2485432.3849909087,2746159.339156569,16296515.840000005,59.31080506769939,9.41,0.20840213126118243,
2025/04/29 19:30:00,7.54,15.71,12.01,98.45,25.57,66.53,89.93,3.132944051272275,2560001.9889401714,2718305.306291744,16537292.200000003,58.83486961142262,9.57,0.1992822752051862,
2025/04/29 22:00:00,7.24,15.74,11.93,98.25,25.56,66.07,90.0,3.1465060380812573,2604529.164450346,2764770.5012348513,16895183.567777783,58.72444555215719,9.52,0.19764557699080937,
2025/04/30 00:30:00,7.28,15.72,11.94,98.01,25.61,66.28,89.92,3.137156846994444,2557062.76646826,2771898.9268792914,16718433.893333334,58.33970878842638,9.44,0.19867395151258496,
